tool,TP,FP,TN,FN,PRECISION,ACCURACY,RECALL,F1,Project
findbugs,0,0,0,0,0.0,0.0,0.0,0.0,testgen
findbugs,9,404,2205,26,0.0217917675544794,0.8373676248108926,0.8373676248108926,0.0401785714285714,titan
findbugs,9,396,0,0,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0434782608695652,traccar
findbugs,16,261,1264,30,0.0577617328519855,0.8147676639083387,0.8147676639083387,0.0990712074303405,transfuse
findbugs,59,351,1623,176,0.1439024390243902,0.7614305115436849,0.7614305115436849,0.1829457364341085,twilio-java
findbugs,189,162,2634,19,0.5384615384615384,0.9397470039946738,0.9397470039946738,0.6762075134168157,twitter4j
findbugs,142,1794,5553,54,0.0733471074380165,0.7550046400636352,0.7550046400636352,0.1332082551594746,undertow
findbugs,46,12164,0,0,0.0037674037674037,0.0037674037674037,0.0037674037674037,0.0075065274151436,unitime
findbugs,13,1,0,0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.962962962962963,vertigo
findbugs,0,92,358,0,0.0,0.7955555555555556,0.7955555555555556,0.0,vertx-deploy-tools
findbugs,1,130,371,0,0.0076335877862595,0.7410358565737052,0.7410358565737052,0.0151515151515151,webbit
findbugs,0,167,861,14,0.0,0.8262955854126679,0.8262955854126679,0.0,webmagic
findbugs,33,472,4324,69,0.0653465346534653,0.8895467537770518,0.8895467537770518,0.1087314662273476,wildfly-elytron
findbugs,1,28,230,1,0.0344827586206896,0.8884615384615384,0.8884615384615384,0.064516129032258,xmvn
